    0.10000E-03    0.40852E-03
    0.10202E-03    0.41645E-03
    0.10408E-03    0.42453E-03
    0.10618E-03    0.43277E-03
    0.10833E-03    0.44117E-03
    0.11052E-03    0.44973E-03
    0.11275E-03    0.45846E-03
    0.11503E-03    0.46735E-03
    0.11735E-03    0.47642E-03
    0.11972E-03    0.48567E-03
    0.12214E-03    0.49509E-03
    0.12461E-03    0.50470E-03
    0.12712E-03    0.51449E-03
    0.12969E-03    0.52448E-03
    0.13231E-03    0.53466E-03
    0.13499E-03    0.54503E-03
    0.13771E-03    0.55561E-03
    0.14049E-03    0.56639E-03
    0.14333E-03    0.57738E-03
    0.14623E-03    0.58858E-03
    0.14918E-03    0.60000E-03
    0.15220E-03    0.61165E-03
    0.15527E-03    0.62352E-03
    0.15841E-03    0.63562E-03
    0.16161E-03    0.64795E-03
    0.16487E-03    0.66052E-03
    0.16820E-03    0.67334E-03
    0.17160E-03    0.68641E-03
    0.17507E-03    0.69973E-03
    0.17860E-03    0.71330E-03
    0.18221E-03    0.72714E-03
    0.18589E-03    0.74125E-03
    0.18965E-03    0.75564E-03
    0.19348E-03    0.77030E-03
    0.19739E-03    0.78525E-03
    0.20138E-03    0.80048E-03
    0.20544E-03    0.81602E-03
    0.20959E-03    0.83185E-03
    0.21383E-03    0.84799E-03
    0.21815E-03    0.86445E-03
    0.22255E-03    0.88122E-03
    0.22705E-03    0.89832E-03
    0.23164E-03    0.91575E-03
    0.23632E-03    0.93352E-03
    0.24109E-03    0.95163E-03
    0.24596E-03    0.97009E-03
    0.25093E-03    0.98892E-03
    0.25600E-03    0.10081E-02
    0.26117E-03    0.10277E-02
    0.26645E-03    0.10476E-02
    0.27183E-03    0.10679E-02
    0.27732E-03    0.10887E-02
    0.28292E-03    0.11098E-02
    0.28864E-03    0.11313E-02
    0.29447E-03    0.11533E-02
    0.30042E-03    0.11756E-02
    0.30649E-03    0.11984E-02
    0.31268E-03    0.12217E-02
    0.31899E-03    0.12454E-02
    0.32544E-03    0.12696E-02
    0.33201E-03    0.12942E-02
    0.33872E-03    0.13193E-02
    0.34556E-03    0.13449E-02
    0.35254E-03    0.13710E-02
    0.35966E-03    0.13976E-02
    0.36693E-03    0.14247E-02
    0.37434E-03    0.14523E-02
    0.38190E-03    0.14805E-02
    0.38962E-03    0.15092E-02
    0.39749E-03    0.15385E-02
    0.40552E-03    0.15683E-02
    0.41371E-03    0.15988E-02
    0.42207E-03    0.16298E-02
    0.43060E-03    0.16614E-02
    0.43929E-03    0.16936E-02
    0.44817E-03    0.17265E-02
    0.45722E-03    0.17600E-02
    0.46646E-03    0.17941E-02
    0.47588E-03    0.18289E-02
    0.48550E-03    0.18644E-02
    0.49530E-03    0.19005E-02
    0.50531E-03    0.19374E-02
    0.51552E-03    0.19749E-02
    0.52593E-03    0.20133E-02
    0.53656E-03    0.20523E-02
    0.54739E-03    0.20921E-02
    0.55845E-03    0.21327E-02
    0.56973E-03    0.21740E-02
    0.58124E-03    0.22162E-02
    0.59299E-03    0.22591E-02
    0.60496E-03    0.23029E-02
    0.61719E-03    0.23476E-02
    0.62965E-03    0.23931E-02
    0.64237E-03    0.24395E-02
    0.65535E-03    0.24868E-02
    0.66859E-03    0.25350E-02
    0.68210E-03    0.25841E-02
    0.69588E-03    0.26342E-02
    0.70993E-03    0.26853E-02
    0.72427E-03    0.27373E-02
    0.73891E-03    0.27904E-02
    0.75383E-03    0.28445E-02
    0.76906E-03    0.28996E-02
    0.78460E-03    0.29558E-02
    0.80045E-03    0.30131E-02
    0.81662E-03    0.30714E-02
    0.83311E-03    0.31309E-02
    0.84994E-03    0.31916E-02
    0.86711E-03    0.32534E-02
    0.88463E-03    0.33164E-02
    0.90250E-03    0.33807E-02
    0.92073E-03    0.34461E-02
    0.93933E-03    0.35129E-02
    0.95831E-03    0.35809E-02
    0.97767E-03    0.36502E-02
    0.99742E-03    0.37209E-02
    0.10176E-02    0.37929E-02
    0.10381E-02    0.38664E-02
    0.10591E-02    0.39412E-02
    0.10805E-02    0.40175E-02
    0.11023E-02    0.40952E-02
    0.11246E-02    0.41744E-02
    0.11473E-02    0.42552E-02
    0.11705E-02    0.43375E-02
    0.11941E-02    0.44214E-02
    0.12182E-02    0.45069E-02
    0.12429E-02    0.45940E-02
    0.12680E-02    0.46828E-02
    0.12936E-02    0.47734E-02
    0.13197E-02    0.48656E-02
    0.13464E-02    0.49596E-02
    0.13736E-02    0.50554E-02
    0.14013E-02    0.51531E-02
    0.14296E-02    0.52526E-02
    0.14585E-02    0.53540E-02
    0.14880E-02    0.54574E-02
    0.15180E-02    0.55627E-02
    0.15487E-02    0.56701E-02
    0.15800E-02    0.57794E-02
    0.16119E-02    0.58909E-02
    0.16445E-02    0.60045E-02
    0.16777E-02    0.61202E-02
    0.17116E-02    0.62382E-02
    0.17462E-02    0.63584E-02
    0.17814E-02    0.64809E-02
    0.18174E-02    0.66056E-02
    0.18541E-02    0.67328E-02
    0.18916E-02    0.68623E-02
    0.19298E-02    0.69943E-02
    0.19688E-02    0.71288E-02
    0.20086E-02    0.72659E-02
    0.20491E-02    0.74055E-02
    0.20905E-02    0.75477E-02
    0.21328E-02    0.76926E-02
    0.21758E-02    0.78402E-02
    0.22198E-02    0.79906E-02
    0.22646E-02    0.81438E-02
    0.23104E-02    0.82998E-02
    0.23571E-02    0.84588E-02
    0.24047E-02    0.86207E-02
    0.24533E-02    0.87856E-02
    0.25028E-02    0.89536E-02
    0.25534E-02    0.91247E-02
    0.26050E-02    0.92989E-02
